"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"ABM_Unit4_model7.nlogox"
"social-influence-experiment"
"07/08/2026 16:45:24:111 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","broadcast","density","social","frac-influential","m","network","influential-weight","[step]","count turtles with [adopted?]","count regulars with [adopted?]","count influentials with  [adopted?]"
"3","0.01","0.3","0.1","0.25","100","random","0.7","14","16","13","3"
"2","0.01","0.3","0.1","0.25","100","random","0.7","73","98","74","24"
"2","0.01","0.3","0.1","0.25","100","random","0.7","74","99","75","24"
"7","0.01","0.3","0.1","0.25","100","random","0.7","1","3","3","0"
"2","0.01","0.3","0.1","0.25","100","random","0.7","75","99","75","24"
"5","0.01","0.3","0.1","0.25","100","random","0.7","36","66","48","18"
"4","0.01","0.3","0.1","0.25","100","random","0.7","15","19","15","4"
"2","0.01","0.3","0.1","0.25","100","random","0.7","76","99","75","24"
"2","0.01","0.3","0.1","0.25","100","random","0.7","77","100","75","25"
"1","0.01","0.3","0.1","0.25","100","random","0.7","3","2","0","2"
"7","0.01","0.3","0.1","0.25","100","random","0.7","2","3","3","0"
"3","0.01","0.3","0.1","0.25","100","random","0.7","15","16","13","3"
"5","0.01","0.3","0.1","0.25","100","random","0.7","37","69","50","19"
"7","0.01","0.3","0.1","0.25","100","random","0.7","3","5","3","2"
"5","0.01","0.3","0.1","0.25","100","random","0.7","38","71","51","20"
"5","0.01","0.3","0.1","0.25","100","random","0.7","39","72","52","20"
"5","0.01","0.3","0.1","0.25","100","random","0.7","40","77","57","20"
"7","0.01","0.3","0.1","0.25","100","random","0.7","4","6","4","2"
"5","0.01","0.3","0.1","0.25","100","random","0.7","41","78","58","20"
"1","0.01","0.3","0.1","0.25","100","random","0.7","4","3","0","3"
"5","0.01","0.3","0.1","0.25","100","random","0.7","42","78","58","20"
"3","0.01","0.3","0.1","0.25","100","random","0.7","16","18","14","4"
"7","0.01","0.3","0.1","0.25","100","random","0.7","5","8","6","2"
"5","0.01","0.3","0.1","0.25","100","random","0.7","43","81","61","20"
"5","0.01","0.3","0.1","0.25","100","random","0.7","44","81","61","20"
"7","0.01","0.3","0.1","0.25","100","random","0.7","6","10","7","3"
"5","0.01","0.3","0.1","0.25","100","random","0.7","45","82","62","20"
"5","0.01","0.3","0.1","0.25","100","random","0.7","46","83","63","20"
"5","0.01","0.3","0.1","0.25","100","random","0.7","47","84","64","20"
"8","0.01","0.3","0.1","0.25","100","random","0.7","0","0","0","0"
"1","0.01","0.3","0.1","0.25","100","random","0.7","5","5","2","3"
"5","0.01","0.3","0.1","0.25","100","random","0.7","48","85","65","20"
"3","0.01","0.3","0.1","0.25","100","random","0.7","17","20","16","4"
"7","0.01","0.3","0.1","0.25","100","random","0.7","7","11","7","4"
"5","0.01","0.3","0.1","0.25","100","random","0.7","49","86","66","20"
"5","0.01","0.3","0.1","0.25","100","random","0.7","50","88","67","21"
"8","0.01","0.3","0.1","0.25","100","random","0.7","1","1","0","1"
"5","0.01","0.3","0.1","0.25","100","random","0.7","51","89","68","21"
"7","0.01","0.3","0.1","0.25","100","random","0.7","8","18","13","5"
"5","0.01","0.3","0.1","0.25","100","random","0.7","52","90","69","21"
"1","0.01","0.3","0.1","0.25","100","random","0.7","6","6","3","3"
"5","0.01","0.3","0.1","0.25","100","random","0.7","53","90","69","21"
"5","0.01","0.3","0.1","0.25","100","random","0.7","54","90","69","21"
